id,name,year,dimensions,environments,sensors,tasks,original_contributors,official_page,primary_publication,terms_or_license,access_class,account_required,agreement_required,commercial_use,redistribution,license_name,verification_status,last_checked,adjacent_non_lidar,notes
nuscenes,nuScenes,2020,3D,outdoor | urban | road,32-beam LiDAR | radar | cameras | GPS/IMU,3D detection | tracking | prediction | LiDAR segmentation,Holger Caesar et al.; Motional,https://www.nuscenes.org/nuscenes,https://doi.org/10.1109/CVPR42600.2020.01164,https://www.nuscenes.org/terms-of-use,FREE_REGISTERED,True,True,noncommercial_unless_separately_authorized,prohibited_or_restricted,nuScenes Terms of Use,verified,2026-08-03,False,"Create an official account, accept current terms, and use the official download portal/devkit."
oxford-robotcar,Oxford RobotCar Dataset,2017,2D | 3D,outdoor | urban | road | seasonal,2D/3D LiDAR | cameras | GPS/INS | radar,localization | mapping | place recognition | odometry,"Will Maddern, Geoffrey Pascoe, Chris Linegar, and Paul Newman",https://robotcar-dataset.robots.ox.ac.uk/,https://doi.org/10.1177/0278364916679498,https://robotcar-dataset.robots.ox.ac.uk/terms.html,FREE_REGISTERED,True,True,noncommercial,restricted,CC BY-NC-SA 4.0 / provider terms,verified,2026-08-03,False,Register through the official site; sequences are large and should be selected deliberately.
pandaset,PandaSet,2020,3D,outdoor | urban | road,mechanical LiDAR | forward-facing LiDAR | cameras | GPS/IMU,3D detection | semantic segmentation | tracking,Hesai and Scale AI,https://pandaset.org/,https://arxiv.org/abs/2112.12610,https://pandaset.org/,FREE_REGISTERED,True,True,verify_provider_terms,restricted,PandaSet Terms of Use,verified,2026-08-03,False,Use the official portal and official devkit. Confirm current terms before commercial or derivative redistribution.
paris-lille-3d,Paris-Lille-3D,2018,3D,outdoor | urban | mobile-mapping,mobile laser scanning,semantic segmentation | classification,"Xavier Roynard, Jean-Emmanuel Deschaud, and François Goulette",https://npm3d.fr/paris-lille-3d,https://doi.org/10.1177/0278364918767506,https://npm3d.fr/paris-lille-3d,OPEN_DIRECT,False,False,noncommercial_or_verify,license_controlled,Provider terms,verified,2026-08-03,False,"Use the official NPM3D page, review evaluation protocol, and cite the original paper."
radish,RADISH Robotics Data Set Repository,2003,2D,indoor | outdoor | robotics,planar laser | odometry | sonar,2D SLAM | localization | mapping,Andrew Howard and Nicholas Roy; robotics community contributors,https://radish.sourceforge.net/,https://radish.sourceforge.net/,https://radish.sourceforge.net/,OPEN_DIRECT,False,False,verify_per_log,verify_per_log,Per-log/provider terms,partial,2026-08-03,False,Historical repository of robotics logs. Confirm attribution and any per-contribution conditions before reuse.
rellis3d,RELLIS-3D,2021,3D,outdoor | off-road | natural,LiDAR | cameras | GPS/IMU,semantic segmentation | navigation | sensor fusion,Peng Jiang et al.; Texas A&M University,https://github.com/unmannedlab/RELLIS-3D,https://doi.org/10.1109/LRA.2020.3034974,https://github.com/unmannedlab/RELLIS-3D,OPEN_DIRECT,False,False,research_use_verify,license_controlled,Repository/provider terms,verified,2026-08-03,False,"Follow the official repository links for images, point clouds, labels, and calibration; inspect each hosted component’s terms."
robotathome,Robot@Home,2017,2D | 3D,indoor | residential,2D laser | RGB-D cameras | robot sensors,semantic mapping | object recognition | robot localization,"José-Raúl Ruiz-Sarmiento, Cipriano Galindo, and Javier González-Jiménez; MAPIR, University of Málaga",https://mapir.isa.uma.es/work/robot-at-home-dataset/,https://doi.org/10.1177/0278364917695640,https://mapir.isa.uma.es/work/robot-at-home-dataset/,OPEN_DIRECT,False,False,research_use_verify,license_controlled,Provider terms,partial,2026-08-03,False,Mixed indoor robotics dataset. Follow official download and database tools; cite the dataset publication.
s3dis,Stanford Large-Scale 3D Indoor Spaces (S3DIS),2016,3D,indoor | office,terrestrial/RGB-D reconstructed point clouds,semantic segmentation | instance segmentation,Iro Armeni et al.; Stanford University,http://buildingparser.stanford.edu/dataset.html,https://doi.org/10.1109/CVPR.2016.75,http://buildingparser.stanford.edu/dataset.html,AGREEMENT_REQUIRED,False,True,noncommercial_research_or_verify,restricted,Stanford provider agreement,partial,2026-08-03,False,Obtain access through the original provider procedure. Do not redistribute copies from third-party mirrors.
scannet,ScanNet,2017,3D,indoor | residential | office,RGB-D reconstruction,semantic segmentation | instance segmentation | 3D reconstruction,Angela Dai et al.; Stanford University,https://www.scan-net.org/,https://doi.org/10.1109/CVPR.2017.261,https://www.scan-net.org/ScanNet_TOS.pdf,AGREEMENT_REQUIRED,True,True,noncommercial_research,prohibited_or_restricted,ScanNet Terms of Use,verified,2026-08-03,True,"Adjacent RGB-D resource, not LiDAR. Access requires the provider agreement, typically submitted with an institutional email."
scannetpp,ScanNet++,2023,3D,indoor | residential | office,FARO laser scans | DSLR | iPhone RGB-D,semantic segmentation | novel view synthesis | 3D reconstruction,"Chandan Yeshwanth, Yueh-Cheng Liu, Matthias Nießner, and Angela Dai",https://scannetpp.mlsg.cit.tum.de/scannetpp/,https://arxiv.org/abs/2308.11417,https://kaldir.vc.in.tum.de/scannetpp/static/scannetpp-terms-of-use.pdf,FREE_REGISTERED,True,True,noncommercial_research,restricted,ScanNet++ Terms of Use,verified,2026-08-03,False,Includes high-fidelity laser scans. Register and accept current official terms before downloading.
semantic3d,Semantic3D,2017,3D,outdoor | urban | terrestrial,terrestrial laser scanner,semantic segmentation | point classification,Timo Hackel et al.; ETH Zurich,https://www.semantic3d.net/,https://doi.org/10.5194/isprs-annals-IV-1-W1-91-2017,https://www.semantic3d.net/,FREE_REGISTERED,True,False,research_use_verify,restricted_or_unconfirmed,Semantic3D provider terms,partial,2026-08-03,False,"Use the official benchmark portal and follow its registration, submission, and data-use requirements."
semantickitti,SemanticKITTI,2019,3D,outdoor | urban | road,Velodyne HDL-64E,semantic segmentation | panoptic segmentation | scene completion,"Jens Behley, Martin Garbade, Andres Milioto, Jan Quenzel, Sven Behnke, C. Stachniss, and J. Gall",https://semantic-kitti.org/,https://doi.org/10.1109/ICCV.2019.00939,https://semantic-kitti.org/dataset.html,OPEN_DIRECT,False,False,noncommercial_research,restricted,CC BY-NC-SA 3.0 for annotations; KITTI terms also apply,verified,2026-08-03,False,"Users obtain KITTI odometry sensor data separately, then place SemanticKITTI labels into the matching sequence structure."
semanticposs,SemanticPOSS,2020,3D,outdoor | campus | road,Pandora 40-line LiDAR,semantic segmentation,Yue Wang et al.; Peking University,http://www.poss.pku.edu.cn/,https://doi.org/10.1109/IV47402.2020.9304594,http://www.poss.pku.edu.cn/,OPEN_DIRECT,False,False,research_use_verify,not_confirmed,Provider terms; verify,partial,2026-08-03,False,The official site can be intermittent. Do not substitute an unofficial mirror without provider authorization.
sensaturban,SensatUrban,2021,3D,outdoor | aerial | urban,photogrammetric point cloud,semantic segmentation | urban mapping,Qingyong Hu et al.; University of Oxford,https://github.com/QingyongHu/SensatUrban,https://doi.org/10.1109/CVPR46437.2021.01148,https://github.com/QingyongHu/SensatUrban,OPEN_DIRECT,False,False,research_use_verify,license_controlled,Provider/repository terms,verified,2026-08-03,True,"Adjacent resource: point clouds are photogrammetric, not LiDAR. It is included for transferable 3D learning comparisons and labeled accordingly."
toronto3d,Toronto-3D,2020,3D,outdoor | urban | mobile-mapping,mobile laser scanning,semantic segmentation | urban mapping,Weikai Tan et al.; University of Waterloo,https://github.com/WeikaiTan/Toronto-3D,https://doi.org/10.1109/CVPRW50498.2020.00139,https://github.com/WeikaiTan/Toronto-3D,OPEN_DIRECT,False,False,research_use_verify,license_controlled,Repository/provider terms,verified,2026-08-03,False,Official repository provides project information and designated download links. Verify dataset and code licenses independently.
usgs-3dep,USGS 3D Elevation Program (3DEP),2015,3D,outdoor | aerial | national-scale,airborne LiDAR,terrain modeling | forestry | infrastructure | flood mapping,United States Geological Survey,https://www.usgs.gov/3d-elevation-program,https://www.usgs.gov/3d-elevation-program,https://www.usgs.gov/3d-elevation-program,OPEN_DIRECT,False,False,generally_permitted_subject_to_source_status,generally_permitted_with_attribution_and_notices,U.S. government data; check item-level metadata,verified,2026-08-03,False,Download through The National Map or official cloud access. Check item-level metadata because partner-supplied components can carry additional notices.
waymo-open,Waymo Open Dataset,2019,3D,outdoor | urban | road,multiple LiDARs | cameras,3D detection | tracking | motion forecasting | segmentation,Pei Sun et al.; Waymo LLC,https://waymo.com/open/,https://doi.org/10.1109/CVPR42600.2020.00252,https://waymo.com/open/terms/,FREE_REGISTERED,True,True,noncommercial_research_under_dataset_terms,restricted,Waymo Open Dataset License Agreement,verified,2026-08-03,False,Dataset terms are separate from licenses for code in Waymo repositories. Do not describe the dataset as open-source.
